FITS_File_Path,FITS_Format_Name,FITS_Format_Version,FITS_PUID,FITS_Identifying_Tool(s),FITS_Multiple_IDs,FITS_Date_Last_Modified,FITS_Size_KB,FITS_MD5,FITS_Creating_Application,FITS_Valid,FITS_Well-Formed,FITS_Status_Message,NARA_Format Name,NARA_File Extension(s),NARA_PRONOM URL,NARA_Risk Level,NARA_Proposed Preservation Plan,NARA_Match_Type,Technical_Appraisal,Other_Risk
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1998\AIR = Sch Bus and Seat Belts\TAPES = All Files\TAPES= CNN #1 - 50\#19=Bus, Georgia A.DOC",Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-05-16,39.424,4b709b2a977d06bc7992f2d15ebe2a61,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1998\AIR = Sch Bus and Seat Belts\TAPES = All Files\TAPES= CNN #1 - 50\#20=Bus, Georgia B.DOC",Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-05-16,36.864,0c8e23a6fa25e57d67556cf652deede0,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1998\AIR = Sch Bus and Seat Belts\AIR = School Bus June21  .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-05-16,52.224,3323aa28fdc3fd965e72b28133c4d05c,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = TOUGH JUSTICE\AIR = Sheriff, Re-Run '00.doc",Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2276-07-15,55.296,a87c0a2e8e9ff0ec51cdfa32cf5a61bd,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = TOUGH JUSTICE\AIR = Tough Justice  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2002-06-20,82.432,4d50f0c5160c069fe83a0f9774e36227,Microsoft Word 9.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\TAPES = CANADA Blood\Blood # 5 = Red Cross  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2002-12-02,26.112,e1c97762929ebd320c43b944ea664ca4,Microsoft Word 9.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\TAPES = CANADA Blood\Blood #14 = RCMP Moreau  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2002-12-08,33.28,af843ce1a9fad4f23f18888c81d7b197,Microsoft Word 9.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\TAPES = ARKANSAS Blood\Blood #22 = Plasmatheresis  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2002-12-02,25.088,d2d72cff71b1234b6e32185826a3977a,Microsoft Word 9.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\TAPES = CANADA Blood\Blood #32 = Hecht on CBC  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-02-29,22.016,7289104b1de7d6b5b382f74bf61c9df7,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\TAPES = CANADA Blood\Blood #35 = Hecht #2  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-02-29,27.648,4317e9de3eac10a8c7eaedf2c66c4fd6,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
