File,SizeKB,DateCreated,DateModified,MD5,Notes
2024-30-er\hd-001\Documents\CSC = Charleston Travel Guide.doc,57.9,2015-08-16,2017-12-14,4D7DD67973E5BC7B465E3E0BE778EEED,
2024-30-er\hd-001\Documents\IJHOF = Bryan Moss.doc,32.3,2016-10-03,2017-12-14,BEE3CEBFE462DD843131D9701DBFC549,
2024-30-er\hd-001\Documents\IJHOF = Captions--BobD _2.doc,38.9,2014-08-19,2017-12-14,043EC806388FFD6B68EA345150BFD3A6,
"2024-30-er\hd-001\Documents\IJHOF = Captions--Daugherty Photos, Final.doc",38.4,2015-05-05,2017-12-14,55BE0403851F6E71F177FC8048AE7618,
2024-30-er\hd-001\Documents\IJHOF = Daugherty Photos--Notes.doc,41,2015-07-25,2017-12-14,59A7DA797E4DB5298BED42EC8098EA0E,
2024-30-er\hd-001\Documents\IRE = Golden Padlock nomination.doc,45.1,2016-10-26,2017-12-14,7577D3C2435A6051556A664E952A3B6B,
2024-30-er\hd-001\Documents\MASTER Files\Act One.xlsx,19.6,2013-08-29,2017-12-14,FB25C237E081907953A25926D669D4B6,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1992\AIR= FIREWORKS\Fireworks  HNN 2.DOC,18.4,1998-09-04,2017-12-14,98C2F971C15C2BC2B8ECDCA8DE64A38A,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1992\AIR= FIREWORKS\Fireworks as Edited.DOC,31.2,1998-09-04,2017-12-14,4DC51D7C6FEC5FBF6B9B779457CB933F,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1992\AIR= FIREWORKS\Fireworks HNN 1.DOC,19.5,1998-09-04,2017-12-14,8AE8B6938C5FDAA2B41B2A187769D835,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1992\AIR= PASSPORTS\Passports CNN Monday.DOC,31.2,1998-09-04,2017-12-14,6F1D7C815723F3818C67A3C1E2C062A6,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1992\AIR= PASSPORTS\Passports for Sale Final.DOC,31.2,1998-09-04,2017-12-14,A2CF7AF0F73E21473DFCD92F56CE3C4D,
